Import Country,Transaction Count
United States of America,9670
Japan,5083
Germany,4920
France,2560
"Hong Kong, SAR China",2368
China,2085
Switzerland,2066
Singapore,1527
Canada,1401
United Arab Emirates,1375
Korea (South),1226
United Kingdom,1224
"Taiwan, Republic of China",1163
Italy,1126
Russian Federation,934
The rest of the world,21899
