Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source,Purpose Description,Source Description,Importer Country Name,Exporter Country Name
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,MX,CR,,,93400.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Mexico,Costa Rica
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,CR,,,303.05,fins,kg,T,W,Commercial,Specimens taken from the wild.,"Hong Kong, SAR China",Costa Rica
2017,II,Carcharhinus falciformis,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,CR,,,946.0,fins,kg,T,W,Commercial,Specimens taken from the wild.,"Hong Kong, SAR China",Costa Rica
2017,III,Cedrela odorata,,Sapindales,Meliaceae,Cedrela,IN,CR,,,20.3,timber,m3,T,W,Commercial,Specimens taken from the wild.,India,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,SA,CR,,,8000.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Saudi Arabia,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,PA,CR,,,1000.0,live,,T,W,Commercial,Specimens taken from the wild.,Panama,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,PA,CR,,,39650.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Panama,Costa Rica
2017,II,Cycas circinalis,,Cycadales,Cycadaceae,Cycas,CA,CR,,,580.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Canada,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,CA,CR,,,1180.0,leaves,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Canada,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,CA,CR,,,200.0,stems,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Canada,Costa Rica
2017,I,Encephalartos altensteinii,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6.0,live,,T,D,Commercial,"Appendix-I animals bred in captivity for commercial purposes in operations included in the Secretariat's Register, in accordance with Resolution Conf. 12.10 (Rev. CoP15), and Appendix-I plants artificially propagated for commercial purposes, as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 4, of the Convention.",Netherlands,Costa Rica
2017,I,Encephalartos gratus,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6.0,live,,T,D,Commercial,"Appendix-I animals bred in captivity for commercial purposes in operations included in the Secretariat's Register, in accordance with Resolution Conf. 12.10 (Rev. CoP15), and Appendix-I plants artificially propagated for commercial purposes, as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 4, of the Convention.",Netherlands,Costa Rica
2017,I,Encephalartos horridus,,Cycadales,Zamiaceae,Encephalartos,NL,CR,CR,,6.0,live,,T,D,Commercial,"Appendix-I animals bred in captivity for commercial purposes in operations included in the Secretariat's Register, in accordance with Resolution Conf. 12.10 (Rev. CoP15), and Appendix-I plants artificially propagated for commercial purposes, as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 4, of the Convention.",Netherlands,Costa Rica
