Export Country,Transaction Count
Indonesia,6492
Italy,5011
United States of America,4463
France,3679
Germany,2602
Netherlands,1618
Ecuador,1501
China,1491
Singapore,1480
Switzerland,1435
Thailand,1432
Australia,1417
South Africa,1408
Malaysia,1348
Peru,1310
Spain,1261
Philippines,1154
United Kingdom,1136
Canada,1128
Belgium,1106
Japan,1034
United Arab Emirates,972
Madagascar,925
The rest of the world,15224
