Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,BO,,4,,derivatives,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,CH,,1,,derivatives,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,CH,,69,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,FR,,3,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,HK,US,9,,derivatives,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,HK,,3,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,IT,XX,34,,derivatives,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,IT,XX,12,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,KE,US,1,,trophies,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,SG,,5,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,US,,1,,derivatives,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,US,,7,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,XX,HK,42,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,XX,,4,,derivatives,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,XX,,54,,skins,,,I
2009,I,Alligatoridae spp.,Reptilia,Crocodylia,Alligatoridae,,AU,XX,,3,,trophies,,,I
2009,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,DK,CN,,26,,live,,B,D
2009,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,DK,CN,,,26,live,,Z,D
2009,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,ES,CN,,,30,live,,T,D
2009,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,7,10,live,,T,D
2009,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,TW,TH,1,,leather products (small),,P,I
2009,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,NO,DK,,,3,live,,Z,C
2009,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,AR,,1,,skulls,,P,I
2009,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,GY,,1,,bodies,,P,I
2009,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,SA,XX,3,,leather products (small),,P,I
2009,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,GE,UA,,2,,live,,P,C
2009,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,CH,DE,AT,2,,live,,Q,D
2009,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,1,,live,,P,C
2009,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,,1,live,,T,C
2009,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,ES,NI,,,200,live,,T,C
2009,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,FR,NI,,,300,live,,T,C
2009,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,UA,NI,,,100,live,,T,C
2009,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,US,NI,,,2814,live,,T,C
2009,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,AT,,3,3,live,,T,C
2009,I,Boidae spp.,Reptilia,Serpentes,Boidae,,JP,CN,,,1,leather products (small),,P,U
2009,I,Boidae spp.,Reptilia,Serpentes,Boidae,,NZ,AU,,4,,skins,,P,I
2009,I,Boidae spp.,Reptilia,Serpentes,Boidae,,NZ,US,,1,,skins,,P,I
2009,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CA,US,,2,1,live,,Z,F
2009,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,IT,SE,2,,live,,T,C
2009,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,IT,SE,4,,live,,T,D
