Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2015,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,TW,JP,,,3,live,,Z,C
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,CO,,1,,leather products (large),,T,C
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,CO,,30,,leather products (small),,T,C
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,CO,,36,,leather products (small),,T,D
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,CO,,1,,trophies,,T,C
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,KZ,UZ,RU,,2,live,,Q,U
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,UZ,RU,,2,,live,,Q,U
2015,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,MA,FR,,8,8,live,,Z,C
2015,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,CH,XX,1,,leather products (small),,P,I
2015,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,GY,,,74,specimens,,T,W
2015,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,CA,US,,1,,live,,P,F
2015,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,CH,DE,,1,,live,,T,C
2015,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,CH,DE,,,1,live,,T,D
2015,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,KR,KW,XX,,6,live,,Z,I
2015,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,GB,MG,,,2,specimens,,S,W
2015,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,UA,PL,,,4,live,,Z,C
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,CN,DE,XX,,3,carvings,,T,O
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,CN,GB,XX,,1,carapaces,,T,O
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,CV,,,1900,specimens,,S,U
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,MC,XX,1,4,specimens,,S,W
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,OM,,159,,specimens,,S,W
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,ZA,,100,100,specimens,,S,W
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,HK,GB,XX,1,,carapaces,,T,O
2015,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,KR,XX,JP,17,,live,,Z,F
