Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2013,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CA,US,,,1,specimens,,S,C
2013,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,TH,,11,,leather products (small),,T,D
2013,I,Caiman crocodilus apaporiensis,Reptilia,Crocodylia,Alligatoridae,Caiman,US,HK,CO,591,,leather products (small),,T,C
2013,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,,,2,specimens,,S,C
2013,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,IT,AR,28,,leather products (small),,T,R
2013,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,BR,,,10,skins,,T,C
2013,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,GY,,6,,skin pieces,kg,T,I
2013,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,CH,DE,,2,2,live,,T,C
2013,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,DE,MG,,,4,scales,mg,S,W
2013,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,DE,MG,,4,,specimens,mg,S,W
2013,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,ID,FR,,,2,live,,B,C
2013,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,TH,ZA,,1,1,live,,P,C
2013,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,TR,PL,,4,4,live,,Z,C
2013,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,US,ZA,,,2,live,,T,C
2013,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,2,2,live,,T,C
2013,I,Epicrates inornatus,Reptilia,Serpentes,Boidae,Epicrates,ID,FR,DE,,4,live,,B,C
2013,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,CA,GB,,7,7,live,,Z,C
2013,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,ID,FR,DE,,2,live,,B,C
2013,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,ID,FR,GB,,2,live,,B,C
2013,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,IE,JE,CA,1,,live,,Z,W
2013,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,US,JM,,,20,skin pieces,,S,W
2013,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,AT,2,2,live,,T,C
2013,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,1,1,live,,T,C
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,CH,DE,XX,4,4,carvings,,T,O
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,DE,BR,,,73,skin pieces,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,DE,BR,,100,27,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,NL,BQ,,,100,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,PT,AU,,,5,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,PT,MZ,,,78,live,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,QA,FR,MO,,1,carvings,,T,O
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,TR,IL,,1,1,live,,Z,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BM,,1,1,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,,10,bodies,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,,4530,skin pieces,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,4376,,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BS,,,110,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,CA,,,136,skins,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,CA,,136,,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,ES,,52.5,52.5,specimens,ml,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,FR,,,1,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,GB,XX,,1,carapaces,,T,U
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,HK,CN,7,4,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,MX,,134,170,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,NI,,19,,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,PF,,1,,specimens,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,ZZ,,2,,bodies,,S,W
2013,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,ZZ,,84,,specimens,,S,W
