Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2011,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,FR,CN,,2,,live,,Z,D
2011,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,FR,HK,CN,,2,live,,Z,D
2011,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MX,US,,,2,live,,Z,F
2011,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,JP,XX,1,,leather products (large),,P,I
2011,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,BR,,5,,skins,,P,C
2011,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,CH,DE,,1,1,live,,P,C
2011,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,DE,US,,1,1,live,,P,F
2011,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,ID,CZ,,,18,live,,T,C
2011,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,KR,DE,,4,,live,,E,D
2011,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,KR,DE,,,4,live,,T,D
2011,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,JP,RU,,,2,live,,Z,F
2011,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,UA,RU,,2,2,live,,Z,C
2011,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,5,5,live,,T,C
2011,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,US,GB,,17,,live,,Z,C
2011,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,2,,live,,P,C
2011,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,ID,CZ,,,3,live,,T,C
2011,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,RU,DE,,,2,live,,T,C
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,AU,CA,XX,,4,specimens,,S,O
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,BB,GB,,2,,carvings,,P,O
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,DK,OM,,,38,specimens,,S,W
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,DK,US,,,1,specimens,,S,W
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,SA,GB,XX,,1,carapaces,,T,O
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,,250,skin pieces,,S,W
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,NI,,,30,specimens,,S,C
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,NI,,27,,specimens,,S,W
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,PA,,4,,specimens,,S,W
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,TL,,1,,bones,,S,I
2011,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,ZZ,,47,,specimens,,S,W
2011,I,Chelonia spp.,Reptilia,Testudines,Cheloniidae,Chelonia,CH,AT,XX,,3,carvings,,T,O
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,FR,AU,,1,carapaces,kg,E,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,MY,,25,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CH,AU,,3,,skulls,,P,O
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CN,XX,,1,,specimens,,E,O
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,AE,,,2,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,US,,,91,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,FR,FR,,70,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,FR,,50,50,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,TC,,2,,specimens,kg,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,US,XX,,1,shells,,P,U
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,IL,CY,,,78,skins,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,IL,CY,,39,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,AW,,,16,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,CR,,,264,derivatives,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,CR,,78,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,CV,,1,,carapaces,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,DO,,2,,oil,,P,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,DO,,2,,oil,,T,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,FM,,87,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,FR,PF,25,,specimens,,S,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,FR,ZZ,2,,carapaces,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,GB,US,1,,carapaces,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,GB,XX,,1,carapaces,,P,U
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,GB,XX,1,,shells,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,GD,,1,,carapaces,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,GQ,,150,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,HT,,1,,shells,,T,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,IT,XX,8,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KE,,,1,carapaces,,P,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KE,,1,,trophies,,P,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,1,,shells,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,MX,,1,,bodies,,T,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,NI,,,84,specimens,,S,C
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,NI,,74,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,PA,,1,,specimens,,S,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,PA,,70,1,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,PE,,1,,carapaces,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,VG,,1,,shells,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,VN,,2,,bodies,,P,I
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,ZZ,,24,,bodies,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,ZZ,,28,,specimens,,S,W
2011,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,VE,AW,,16,,specimens,,S,W
2011,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AE,GB,XX,,1,carvings,,T,O
2011,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AT,CH,XX,1,,carvings,,E,O
2011,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AU,GB,XX,,13,carvings,,T,O
2011,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AU,GB,XX,,1,carvings,,T,U
2011,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AU,KR,XX,7,1,carvings,,Q,O
2011,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AU,KR,XX,,15,shells,,Q,O
