Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Alligator spp.,Reptilia,Crocodylia,Alligatoridae,Alligator,MW,US,,9,,specimens,,M,W
2012,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,SG,CN,,3,3,live,,Z,C
2012,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,BR,,,20,skins,,T,C
2012,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,MY,DK,AR,,2,live,,B,C
2012,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,ID,DE,,,2,live,,T,C
2012,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,TR,NL,,2,,live,,Z,F
2012,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,TR,NL,,2,,live,,Z,U
2012,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,ID,DE,,,5,live,,T,C
2012,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,UA,RU,,2,2,live,,Z,C
2012,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,AT,1,1,live,,T,D
2012,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,1,,live,,P,C
2012,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,,11,live,,T,C
2012,I,Casarea dussumieri,Reptilia,Serpentes,Bolyeriidae,Casarea,GB,MU,,20,,specimens,ml,S,W
2012,I,Casarea dussumieri,Reptilia,Serpentes,Bolyeriidae,Casarea,GB,MU,,150,120,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,CN,GB,XX,,1,carapaces,,T,O
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,DE,US,,,1,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,IL,,,40,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,NI,,,25,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,HK,GB,,1,,carapaces,,T,O
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,TR,IL,,,1,live,,Z,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,AU,XX,,1,bones,,P,O
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,AU,XX,,3,skulls,,P,O
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,AU,,,67,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BM,,11,,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,115,,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BS,,58,200,specimens,,S,W
2012,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,CA,,,10,specimens,,S,W
