Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,KP,CN,,,1,bodies,,E,U
2016,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,DK,,10,,live,,Z,F
2016,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,ID,FR,,,4,live,,Z,F
2016,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,IR,DE,,,22,live,,T,C
2016,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,XX,IT,DE,,2,live,,Q,C
2016,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,ID,FR,,,4,live,,Z,F
2016,I,Pseudemydura umbrina,Reptilia,Testudines,Chelidae,Pseudemydura,AU,US,AU,,5,specimens,,S,W
2016,I,Pseudemydura umbrina,Reptilia,Testudines,Chelidae,Pseudemydura,US,AU,,2,,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,CH,FR,XX,,1,carvings,,T,O
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,DE,MG,,50,50,specimens,g,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,GG,,,1,live,,N,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,JE,XX,,1,live,,N,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,JE,,1,,live,,N,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,MC,,,3,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,GR,LB,,1,,live,,M,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,GR,LB,,,1,live,,N,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,JP,DE,XX,2,,carvings,,Q,O
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,JP,ZZ,,5,,unspecified,g,S,X
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,KR,JP,,,17,live,,Z,F
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,MC,CH,XX,1,,carvings,,T,O
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,TW,FR,XX,,2,carvings,,T,O
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BM,,,2,live,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BM,,2,,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,71,,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BS,,,200,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,CA,,47,47,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,KY,,150,200,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,NI,,1,,specimens,,S,W
2016,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,PA,,1,,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,BB,FR,,,120,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CA,FR,XX,1,1,carvings,,Q,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,MG,,50,50,specimens,g,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,UY,,,100,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,CA,XX,1,1,carvings,,Q,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,US,XX,1,,carvings,,P,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,US,XX,,1,shells,,T,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,SG,XX,4,1,carvings,,Q,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,SG,XX,,1,trophies,,Q,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,HK,FR,XX,1,0.5,carvings,,T,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,KR,CN,,,4,specimens,,E,C
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,KR,SG,XX,,5,live,,Z,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,PT,ST,,867,,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,RE,MG,,,2,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,SG,FR,XX,,0.5,carvings,,P,O
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,BM,,694,694,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,BS,,193,800,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,CA,,1,1,live,,N,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,CA,,4,4,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,CR,,634,,eggshell,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,CR,,63,,extract,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,FJ,,1,,carapaces,,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,FJ,,115,,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,HT,NI,3,,meat,kg,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,HT,,1,,carapaces,,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,HT,,1,,shells,,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,2.45,,meat,kg,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,400,1000,specimens,,S,F
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,272,,specimens,,S,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,100,150,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,MX,,17,,bones,,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,MX,,2,,carapaces,,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,MX,,1,,skulls,,P,I
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,NI,,5,,specimens,,S,W
2016,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,PA,,86,,specimens,,S,W
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AT,KR,XX,4,,carvings,,Q,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,AU,GB,XX,,2,carvings,,T,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CA,GB,XX,1,,carapaces,,P,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CH,AE,XX,,1,carvings,,T,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CH,DE,XX,,1,bodies,,Q,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CH,FR,XX,,1,carvings,,T,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CH,GB,XX,,2,carvings,,T,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CN,FR,FR,,2,carvings,,T,O
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,CN,FR,XX,,1,jewellery,,T,O
