Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2010,I,Alligator spp.,Reptilia,Crocodylia,Alligatoridae,Alligator,FI,RU,,1,,heads,,,I
2010,I,Alligator spp.,Reptilia,Crocodylia,Alligatoridae,Alligator,FI,US,,1,,leather products (small),,,I
2010,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,DK,NO,CN,20,,live,kg,Z,D
2010,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,DK,NO,CN,,1,live,,Z,D
2010,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,HR,DE,CN,2,2,live,,P,D
2010,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,10,10,live,,T,D
2010,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MX,US,,2,,live,,Z,F
2010,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,CN,,1,,feet,,P,I
2010,I,Caiman crocodilus apaporiensis,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,CO,,1,specimens,,S,W
2010,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,BO,,3,specimens,,S,W
2010,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,BR,,8,specimens,,S,W
2010,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,US,PY,,2,specimens,,S,W
2010,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,DK,NO,DK,6,,live,,Z,F
2010,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,MK,BG,GB,,2,live,,Z,C
2010,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,MK,BG,,2,,live,,Z,C
2010,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,,2,live,,T,C
2010,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,SV,XX,,20,,live,,,I
2010,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,3,3,live,,P,C
2010,I,Boidae spp.,Reptilia,Serpentes,Boidae,,AT,CM,,1,,skins,,P,W
2010,I,Boidae spp.,Reptilia,Serpentes,Boidae,,AT,CM,,1,,skulls,,P,W
2010,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,JM,GB,XX,,1,live,,Z,W
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,AT,,3,3,live,,T,C
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,2,,live,,T,C
2010,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,,2,live,,T,D
