Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2008,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,DK,CN,,,20,live,,T,D
2008,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,FR,CN,,27,27,live,,Z,D
2008,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,20,30,live,,T,D
2008,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,4,4,live,,Z,C
2008,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,TH,,1,,eggs,,P,I
2008,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,DK,EC,,11,,skulls,,T,C
2008,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,DK,NO,EC,3,,live,,T,C
2008,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,DK,NO,EC,4,,live,,Z,C
2008,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,DK,NO,EC,1,,live,,Z,F
2008,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,,8,live,,T,C
2008,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,AM,RU,,,2,live,,Z,F
2008,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,2,2,live,,T,C
2008,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,IT,ME,CZ,,2,live,,Q,C
2008,I,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,ME,IT,CZ,3,,live,,Q,C
2008,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,1,1,live,,T,C
2008,I,Boidae spp.,Reptilia,Serpentes,Boidae,,JP,CN,,,1,leather products (small),,P,U
2008,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CA,US,,1,,live,,Z,F
2008,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,AT,,6,6,live,,T,C
2008,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,2,,live,,P,C
2008,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,,2,live,,T,C
2008,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,IT,CH,,3,3,live,,Z,C
2008,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,MG,,,4,specimens,ml,S,W
2008,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,MG,,20,,specimens,,S,W
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,CV,PT,,,1,live,,L,W
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,DE,MG,,,1,bodies,,S,W
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,CV,,,1400,eggs,,N,
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,CV,,1400,,eggs (live),,N,W
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,JP,XX,2,,carvings,,Q,O
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,JP,XX,8,,scales,,Q,O
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,JP,,,10,carvings,,Q,O
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,JP,FR,,10,,carvings,,Q,O
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,PT,CV,,,72,specimens,ml,S,
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,SG,GB,XX,,1,carapaces,,T,O
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,AU,,219,,specimens,,S,W
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BM,,2,,specimens,,S,W
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,,50,specimens,,S,W
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BZ,,1,,meat,kg,P,I
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,FR,XX,1,,carvings,,P,U
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,FR,XX,,1,carvings,,T,O
2008,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,GB,XX,1,,carvings,,T,I
