Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IT,SG,US,1,,leather products (small),,T,W
2014,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,CA,US,1,,specimens,,S,C
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,NO,DK,,,3,live,,Z,C
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,QA,GB,AR,,1,leather products (small),,T,R
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CA,US,2,,specimens,,S,C
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,IT,AR,4,,leather products (small),,T,I
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,IT,AR,1,,leather products (small),,T,R
2014,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,,2,live,,T,C
2014,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,2,2,live,,Z,C
2014,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,GB,MG,,,6,specimens,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,AT,AU,,,50,specimens,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,AU,NZ,,,0.1,specimens,cm3,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,AU,NZ,,1,,specimens,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,FR,MZ,,100,,specimens,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,JP,ZZ,,3,,specimens,g,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,JP,ZZ,,10,,specimens,ml,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,MC,FR,XX,,1,live,,N,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BE,XX,,3,carapaces,kg,T,O
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BM,,1,1,specimens,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BR,,,70,bodies,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BS,,3,,shells,,P,I
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BS,,,400,specimens,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,GB,XX,1,,shells,,T,I
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,NI,,3,4,specimens,,S,W
2014,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,ZZ,,36,,specimens,,S,W
2014,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,NZ,,,24.1,specimens,cm3,S,W
2014,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,NZ,,53,,specimens,,S,W
2014,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CH,FR,MO,,1,carvings,,T,O
